uri,label
http://vocab.getty.edu/aat/300014245,pappmasjé
http://vocab.getty.edu/aat/300014245,pappmasjé
http://vocab.getty.edu/aat/300014245,papel maché
http://vocab.getty.edu/aat/300014245,papier maché
http://vocab.getty.edu/aat/300014245,cartón piedra
http://vocab.getty.edu/aat/300015358,corrosive material
http://vocab.getty.edu/aat/300015358,"material, corrosive"
http://vocab.getty.edu/aat/300015358,腐蝕材料
http://vocab.getty.edu/aat/300015358,腐蝕性材料
http://vocab.getty.edu/aat/300015358,fǔ shí cái liào
http://vocab.getty.edu/aat/300015358,fu shi cai liao
http://vocab.getty.edu/aat/300015358,fu shih ts'ai liao
http://vocab.getty.edu/aat/300015358,bijtend materiaal
http://vocab.getty.edu/aat/300015358,material corrosivo
http://vocab.getty.edu/aat/300015358,solvente corrosivo
http://vocab.getty.edu/aat/300236306,cosmetics
http://vocab.getty.edu/aat/300236306,cosmetic
http://vocab.getty.edu/aat/300236306,cosmetica
http://vocab.getty.edu/aat/300236306,make-up
http://vocab.getty.edu/aat/300236306,produit cosmétique
http://vocab.getty.edu/aat/300236306,maquillage
http://vocab.getty.edu/aat/300236306,Kosmetika
http://vocab.getty.edu/aat/300236306,Kosmetikum
http://vocab.getty.edu/aat/300236306,μακιγιάζ
http://vocab.getty.edu/aat/300236306,איפור
http://vocab.getty.edu/aat/300236306,trucco
http://vocab.getty.edu/aat/300236306,šminka
http://vocab.getty.edu/aat/300236306,cosméticos
